Column1,ind,vi,en,lesson
1562,1561,chiếc,"the, ones",18
1563,1562,ở,"stayed, stayed in, has stayed in",1
1564,1563,xe ô tô,car,84
1565,1564,ăn,"eats, ate, eating",1
1566,1565,súp,soup,84
1567,1566,bát,bowl,4
1568,1567,đây,"this, is here, these",66
1569,1568,năm,"years, 5, year",9
1570,1569,bốn,"four, 4",64
1571,1570,mì,noodles,84
1572,1571,có,"is, there are, with",1
1573,1572,phở,"pho, phở",74
1574,1573,thích,"like, likes",20
1575,1574,ba,"third, father, dad",1
1576,1575,bàn,"the table, table, the desk",4
1577,1576,bạn,"friends, you, friendship",4
1578,1577,hai,two,68
1579,1578,chúng tôi,"we, us",65
1580,1579,phải không,"is there ... ?, do ... ?, were ... ?",36
1581,1580,đến,"is, arrives, go",6
1582,1581,đến từ,"are from, comes from, come from",57
1583,1582,chị gái,older sister,84
1584,1583,mẹ,mom,3
1585,1584,Nhật,Japan,84
1586,1585,không phải,"not, is not, are not",44
1587,1586,anh,"English, the United Kingdom, England",4
1588,1587,anh trai,"older brother, elder brother",84
1589,1588,bố,"dad, father",1
1590,1589,của,"'s, of, '",6
1591,1590,bác sĩ,doctor,60
1592,1591,anh ấy,"he, him",21
1593,1592,cô ấy,"she, her",21
1594,1593,tiếng,"hour, hours, classifier for languages",20
1595,1594,nói,"spoken, speaks, to say",9
1596,1595,giáo viên,teacher,59
1597,1596,chúc ngủ ngon,good night,84
1598,1597,gặp lại sau,see you later,84
1599,1598,chào tạm biệt,"bye, goodbye",84
1600,1599,buổi tối,"evening, night",84
1601,1600,gặp,"encountered, dealing, meeting",62
1602,1601,khoẻ,"well, strong, fine",14
1603,1602,dạo này bạn thế nào,"what's up, how are you doing",84
1604,1603,đói,hungry,84
1605,1604,mọi người,"everybody, everyone, people",43
1606,1605,buổi sáng,morning,84
1607,1606,sáng,"morning, bright, light",17
1608,1607,xin chào,"hello, hi",84
1609,1608,muốn,want,15
1610,1609,đường,sugar,18
1611,1610,với,"with, plus, at",12
1612,1611,sữa,milk,10
1613,1612,đá,ice,2
1614,1613,nóng,hot,16
1615,1614,và,and,4
1616,1615,một,"an, a, first",8
1617,1616,tách,cup,84
1618,1617,trà,tea,79
1619,1618,vui lòng cho,please,84
1620,1619,cho,"for, let, lets",5
1621,1620,cà phê,coffee,64
1622,1621,hay là,or,84
1623,1622,xin lỗi,"apologize, sorry, excuse me",39
1624,1623,vâng,"yes, (politely)",17
1625,1624,xin,"beg, ask for, please",82
1626,1625,hộ chiếu,passport,25
1627,1626,nước,"water, country, countries",74
1628,1627,người,"people, (classifier for human), the",19
1629,1628,tôi,I,11
1630,1629,là,"is, am, being",2
1631,1630,chào,"hello, greets, hi",13
,,,,
